Service,Resource Count,Total Attributes,Resource Name,Attribute Count
,,,compute_forwarding_rule,27
,,,compute_future_reservation,47
,,,compute_global_address,10
,,,compute_global_forwarding_rule,26
,,,compute_global_network_endpoint,5
,,,compute_global_network_endpoint_group,5
,,,compute_ha_vpn_gateway,11
,,,compute_health_check,49
,,,compute_http_health_check,10
,,,compute_https_health_check,10
,,,compute_image,43
,,,compute_image_iam,8
,,,compute_instance,118
,,,compute_instance_from_machine_image,3
,,,compute_instance_from_template,3
,,,compute_instance_group,8
,,,compute_instance_group_manager,44
,,,compute_instance_group_membership,4
,,,compute_instance_group_named_port,5
,,,compute_instance_iam,9
,,,compute_instance_settings,3
,,,compute_instance_template,100
,,,compute_instance_template_iam,8
,,,compute_instant_snapshot,6
,,,compute_instant_snapshot_iam,9
,,,compute_interconnect,29
,,,compute_interconnect_attachment,22
,,,compute_interconnect_attachment_group,7
,,,compute_interconnect_group,6
,,,compute_machine_image,9
,,,compute_machine_image_iam,8
,,,compute_managed_ssl_certificate,5
,,,compute_network,15
,,,compute_network_attachment,8
,,,compute_network_edge_security_service,5
,,,compute_network_endpoint,6
,,,compute_network_endpoint_group,8
,,,compute_network_endpoints,6
,,,compute_network_firewall_policy,4
,,,compute_network_firewall_policy_association,4
,,,compute_network_firewall_policy_packet_mirroring_rule,17
,,,compute_network_firewall_policy_rule,33
,,,compute_network_firewall_policy_with_rules,37
,,,compute_network_peering,9
,,,compute_network_peering_routes_config,7
,,,compute_node_group,16
,,,compute_node_template,16
,,,compute_organization_security_policy,4
,,,compute_organization_security_policy_association,3
,,,compute_organization_security_policy_rule,17
,,,compute_packet_mirroring,15
,,,compute_per_instance_config,23
,,,compute_preview_feature,5
,,,compute_project_cloud_armor_tier,2
,,,compute_project_default_network_tier,2
,,,compute_project_metadata,2
,,,compute_project_metadata_item,3
,,,compute_public_advertised_prefix,6
,,,compute_public_delegated_prefix,9
,,,compute_region_autoscaler,38
,,,compute_region_backend_service,103
,,,compute_region_backend_service_iam,9
,,,compute_region_commitment,15
